layer_i,proj_i,dim_i,layer_j,proj_j,dim_j,intersect_dim,mean_cos2
2,v_proj,3072,30,v_proj,3072,2048,0.7505155404408773
2,v_proj,3072,31,k_proj,3072,2048,0.7495927810668945
2,v_proj,3072,31,v_proj,3072,2048,0.7497032483418783
3,k_proj,3075,3,k_proj,3075,3075,0.999999603023374
3,k_proj,3075,3,v_proj,3072,2051,0.7749914253048781
3,k_proj,3075,4,k_proj,3073,2052,0.7731194423272357
3,k_proj,3075,4,v_proj,3072,2051,0.7589241933434959
3,k_proj,3075,5,k_proj,3072,2051,0.7617276422764228
3,k_proj,3075,5,v_proj,3072,2051,0.754866774644309
3,k_proj,3075,6,k_proj,3072,2051,0.7618041793699187
3,k_proj,3075,6,v_proj,3072,2051,0.7554689087906504
3,k_proj,3075,7,k_proj,3072,2051,0.7584590955284553
3,k_proj,3075,7,v_proj,3072,2051,0.753637099847561
3,k_proj,3075,8,k_proj,3072,2051,0.7555838732215447
3,k_proj,3075,8,v_proj,3072,2051,0.7505252794715447
3,k_proj,3075,9,k_proj,3072,2051,0.7536486915650407
3,k_proj,3075,9,v_proj,3072,2051,0.749649628429878
3,k_proj,3075,10,k_proj,3072,2051,0.7517970337906504
3,k_proj,3075,10,v_proj,3072,2051,0.750055894308943
3,k_proj,3075,11,k_proj,3072,2051,0.7525883669969512
3,k_proj,3075,11,v_proj,3072,2051,0.75087890625
3,k_proj,3075,12,k_proj,3072,2051,0.7526288586128049
3,k_proj,3075,12,v_proj,3072,2051,0.7504002318343496
3,k_proj,3075,13,k_proj,3072,2051,0.7510339653201219
3,k_proj,3075,13,v_proj,3072,2051,0.7479697027439024
3,k_proj,3075,14,k_proj,3072,2051,0.7509741806402439
3,k_proj,3075,14,v_proj,3072,2051,0.7500439850101626
3,k_proj,3075,15,k_proj,3072,2051,0.7527081745426829
3,k_proj,3075,15,v_proj,3072,2051,0.7517643229166666
3,k_proj,3075,16,k_proj,3072,2051,0.7520685658028455
